OPPORTUNITY_ID,ACCOUNT_NAME,RESTAURANT_UNIQUE_CODE,STATUS,ONBOARDED_DATE,GMV_LEVEL_VOICE_PLATFORM,TOTAL_GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,TOTAL_GMV_VOICE_PLATFORM_USD,TOTAL_ORDER_COUNT_VOICE_PLATFORM,TOTAL_MIN_MONTHLY_SALES_USD,LEAD_SOURCE,BILLING_STATE,PROMOTIONS,LATEST_ACTIVATION_DATE,CUISINE_TYPE
006Uo000002KnkzIAC,New China R86697,R86697,active,2024-01-01,"level_2 ($30,000 to $49,999)",32339,404233,20210,10000,WeChat - Ads,IL,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2023-12-30,chinese
006Uo000009XV20IAG,China One LLC R87063,R87063,active,2024-03-21,"level_2 ($30,000 to $49,999)",33592,293371,10518,10000,SEO_Chinese,WI,March24 SQL - Humidifier,2024-03-19,chinese
006Uo0000017BuEIAU,NO.1 CHINA R86526,R86526,active,2023-11-29,"level_3 ($10,000 to $29,999)",20044,237185,8474,0,Client Referral - Unknown;Organic - Direct,NC,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO,2023-11-27,chinese
006Uo00000BOtcwIAD,Grand China R87175,R87175,active,2024-06-05,"level_3 ($10,000 to $29,999)",15040,98760,3882,10000,Telemarketer,FL,1 Year SMS - Free,2024-06-03,chinese
006Uo000001tV0zIAE,Dragon Phoenix R86579,R86579,active,2023-12-09,"level_3 ($10,000 to $29,999)",12441,167129,5723,10000,DM,FL,30 days Free Trial - VO;30 days Free Trial - DE,2023-12-07,chinese
006Uo00000BNxdoIAD,Great Apple R87307,R87307,active,2024-06-30,"level_3 ($10,000 to $29,999)",17632,103443,3055,15000,Telemarketer,WI,30 days Free Trial - VO;1 Year SMS - Free;Jun 2024 SQL - Mini Fridge,2024-06-29,chinese
006Uo00000GM74tIAD,PANDA R87375,R87375,suspended,2024-07-11,"level_2 ($30,000 to $49,999)",37395,43627,2124,10000,SEO_Chinese,MI,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Jun 2024 SQL - Mini Fridge,2024-07-11,chinese
0068b00001TfoI2AAJ,Best wok R86282,R86282,active,2023-10-30,"level_3 ($10,000 to $29,999)",18809,239498,9116,15000,WeChat - Blog,LA,30 days Free Trial - VO,2023-10-25,chinese
006Uo00000HQDpRIAX,China Chef R87521,R87521,canceled,2024-07-30,"level_3 ($10,000 to $29,999)",22955,55858,2211,15000,DM,VA,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;July 2024 CW - Gold Yuanbao,2024-08-01,chinese
006Uo00000AMRgXIAX,New China R86697,R86697,active,2024-05-20,"level_2 ($30,000 to $49,999)",32339,404233,20210,10000,,IL,,2023-12-30,chinese
006Uo00000170M9IAI,ORIENTAL EXPRESS R86723,R86723,canceled,2024-01-13,"level_3 ($10,000 to $29,999)",19476,146067,5289,0,Client Referral - Unknown;SEO_Chinese,NJ,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO,2024-04-30,chinese_japanese
006Uo000005gfTsIAI,GOLDEN CHINA R86809,R86809,canceled,2024-01-22,"level_3 ($10,000 to $29,999)",12709,125396,5955,10000,DM,IN,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;$1500 Statement Credit,2024-01-19,chinese
006Uo000005ESmNIAW,TASTE OF ASIA R86788,R86788,active,2024-01-22,"level_3 ($10,000 to $29,999)",16547,169328,5241,15000,DM,TX,Printer Promotion;30 days Free Trial - VO;$1500 Statement Credit,2024-01-18,advanced
006Uo000001q7L1IAI,Rice House R86755,R86755,active,2024-01-06,"level_3 ($10,000 to $29,999)",12542,126677,4462,8000,DM;Client Referral -Marketing,PA,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-01-04,chinese
